,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
149,149,محل للإيجار في حي ، طريق العزيزية ، حي الدار البيضاء ، الرياض ، الرياض,"40,000 ريال",126 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/حي-طريق-العزيزية-حي-الدار-البيضاء-الرياض-الرياض-3452916,غرب,60 م, 5 سنة
150,150,محل للإيجار في طريق ابن تيمية ، حي بدر ، الرياض ، الرياض,"180,000 ريال",170 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/طريق-ابن-تيمية-حي-بدر-الرياض-الرياض-3334040,شمال غربي,,
151,151,محل للإيجار في طريق العزيزية ، حي الدار البيضاء ، الرياض ، الرياض,"170,000 ريال",200 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/طريق-العزيزية-حي-الدار-البيضاء-الرياض-الرياض-3453644,3 شوارع,100 م, 6 سنة
152,152,محل للإيجار في شارع الامام مسلم ، حي المروة ، الرياض ، الرياض,"65,000 ريال",140 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-الامام-مسلم-حي-المروة-الرياض-الرياض-3426045,جنوب شرقي,60 م,جديد
153,153,محل للإيجار في شارع عبدالقادر الجزائري ، حي الدار البيضاء ، الرياض ، الرياض,"16,000 ريال",40 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-عبدالقادر-الجزائري-حي-الدار-البيضاء-الرياض-الرياض-3139611,جنوب,35 م, 6 سنة
154,154,محل للإيجار في شارع الخليل بن أحمد ، حي المروة ، الرياض ، الرياض,"55,000 ريال",50 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-المروة/شارع-الخليل-بن-أحمد-حي-المروة-الرياض-الرياض-3519157,شمال,,
155,155,محل للإيجار في شارع فتح مكة ، حي بدر ، الرياض ، الرياض,"80,000 ريال",296 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-فتح-مكة-حي-بدر-الرياض-الرياض-3361174,شمال,60 م,جديد
156,156,محل للإيجار في شارع محمد رشيد رضا ، حي العزيزية ، الرياض ، الرياض,"25,000 ريال",261 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-محمد-رشيد-رضا-حي-العزيزية-الرياض-الرياض-3316543,غرب,40 م, 4 سنة
157,157,محل للإيجار في شارع سليمان حلاوه ، حي النور ، الرياض ، الرياض,"120,000 ريال",1000 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-النور/شارع-سليمان-حلاوه-حي-النور-الرياض-الرياض-3568154,شمال,,
158,158,محل للإيجار في طريق الامام مالك ، حي بدر ، الرياض ، الرياض,"14,000 ريال",28 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/طريق-الامام-مالك-حي-بدر-الرياض-الرياض-2322605,غرب,30 م, 16 سنة
